Origin_airport,Destination_airport,Total_Passengers,Total_Flights,Total_Seats,Seat_Utilization,Org_airport_lat,Org_airport_long,Dest_airport_lat,Dest_airport_long,Usage_Category
OGG,HNL,32364612,382319,49622245,0.6522198260074691,20.8985996246338,-156.429992675781,21.3187007904053,-157.921997070312,Sovra-Utilizzata
HNL,OGG,29744742,373289,47005454,0.6327934200997186,21.3187007904053,-157.921997070312,20.8985996246338,-156.429992675781,Sovra-Utilizzata
LAX,HNL,28964154,128907,36498926,0.7935618160380938,33.94250107,-118.4079971,21.3187007904053,-157.921997070312,Sovra-Utilizzata
HNL,LAX,28632161,128361,36214530,0.7906263314752393,21.3187007904053,-157.921997070312,33.94250107,-118.4079971,Sovra-Utilizzata
LAS,LAX,26333721,290894,40073716,0.6571319964437538,36.08010101,-115.1520004,33.94250107,-118.4079971,Sovra-Utilizzata
LAX,LAS,26177809,295590,40436122,0.6473867350583223,33.94250107,-118.4079971,36.08010101,-115.1520004,Sovra-Utilizzata
LAX,SFO,25661782,299070,39644851,0.6472916747751177,33.94250107,-118.4079971,37.6189994812012,-122.375,Sovra-Utilizzata
SFO,LAX,25458207,301216,39746487,0.6405146447282246,37.6189994812012,-122.375,33.94250107,-118.4079971,Sovra-Utilizzata
ATL,MCO,23483751,158653,30270767,0.7757897578214652,33.6366996765137,-84.4281005859375,28.4293994903564,-81.3089981079102,Sovra-Utilizzata
ORD,LAX,22979359,180890,32387231,0.7095191002898642,41.97859955,-87.90480042,33.94250107,-118.4079971,Sovra-Utilizzata
LAX,ORD,22936415,177560,31744654,0.7225284295113124,33.94250107,-118.4079971,41.97859955,-87.90480042,Sovra-Utilizzata
MCO,ATL,22754168,153626,29321691,0.7760182726159961,28.4293994903564,-81.3089981079102,33.6366996765137,-84.4281005859375,Sovra-Utilizzata
LAX,JFK,22289567,164260,31519955,0.7071573230355183,33.94250107,-118.4079971,40.63980103,-73.77890015,Sovra-Utilizzata
PHX,LAS,21697391,228593,32726867,0.6629840552717741,33.4342994689941,-112.012001037598,36.08010101,-115.1520004,Sovra-Utilizzata
ATL,DFW,21626001,195604,30059986,0.7194281793744016,33.6366996765137,-84.4281005859375,32.896800994873,-97.0380020141602,Sovra-Utilizzata
JFK,LAX,21582405,164425,31539130,0.6843056545947843,40.63980103,-73.77890015,33.94250107,-118.4079971,Sovra-Utilizzata
PHX,LAX,21490581,258261,32994241,0.6513433965642671,33.4342994689941,-112.012001037598,33.94250107,-118.4079971,Sovra-Utilizzata
DFW,ATL,21315212,194394,29904862,0.71276744229751,32.896800994873,-97.0380020141602,33.6366996765137,-84.4281005859375,Sovra-Utilizzata
